9.17992993426318;0.0	10.651834866333123;0.0	9.96218244290313;0.0	8.95388642889969;0.0	9.094439898777761;0.0	
9.229784768434666;0.0	10.786946093654986;0.0	10.036276422181231;0.0	9.058291653512562;0.0	8.769745592860614;0.0	
8.33617293125566;0.0	11.266929355084237;0.0	10.315145359180725;0.0	9.53301244741169;0.0	8.888445368856747;0.0	
8.247348986952696;0.0	10.061215382986417;0.0	9.94014943633169;0.0	8.749821496820033;0.0	7.892465651392448;0.0	
9.880692092244937;0.0	10.10002074990541;0.0	9.184237715927885;0.0	9.744939335724492;0.0	8.876852570321867;0.0	
7.626595558551682;0.0	10.593153205535641;0.0	9.550009670433846;0.0	9.670936566336833;0.0	10.056280805425626;0.0	
8.75738292050543;0.0	10.332078158596747;0.0	9.617047169021376;0.0	9.642954496218106;0.0	9.57802707966138;0.0	
9.043582332083234;0.0	10.220962144151578;0.0	9.940821078023669;0.0	9.149605125526486;0.0	8.567860255010794;0.0	
9.60186405132246;0.0	9.917714274033942;0.0	9.762030767786252;0.0	9.343535685663662;0.0	10.31485855566332;0.0	
9.027242587299957;0.0	10.61461284852539;0.0	9.902478064631193;0.0	9.535828155153865;0.0	10.877983251199645;0.0	
10.214345196384668;0.0	9.87277361602675;0.0	9.776945278083335;0.0	8.86356863993389;0.0	9.509916187444128;0.0	
9.364150383658034;0.0	10.310549512580971;0.0	9.689701635990264;0.0	8.90109812496644;0.0	7.084433253506179;0.0	
9.715854086242741;0.0	9.985297481404212;0.0	9.10525146624699;0.0	9.48644348030114;0.0	8.533219022286676;0.0	
8.524418853641947;0.0	10.654174125816205;0.0	9.458351851843968;0.0	9.44022872035193;0.0	8.806394870868944;0.0	
8.396674193045483;0.0	10.538780637908532;0.0	9.801758120242791;0.0	9.17366595083301;0.0	8.986086929090575;0.0	
9.096753031613547;0.0	10.428878752358303;0.0	9.868641910825014;0.0	9.06343798950492;0.0	8.645156782240925;0.0	
9.039145030657881;0.0	10.387421061356903;0.0	10.112762688735565;0.0	8.69708210069564;0.0	8.540012873716782;0.0	
8.61364213437882;0.0	10.03732939895548;0.0	10.112124442558144;0.0	8.65220623444155;0.0	8.108719275524258;0.0	
8.58581276038204;0.0	9.925190166646088;0.0	9.8202178129078;0.0	8.826580546631813;0.0	7.634650741576951;0.0	
8.464601123490127;0.0	9.844749725937227;0.0	9.668080610417991;0.0	8.930261158689493;0.0	7.261504333959803;0.0	
8.359550022860828;0.0	10.235141745139877;0.0	9.543199996202855;0.0	8.903722300241252;0.0	7.657999490638621;0.0	
7.740993316754007;0.0	11.059343826769148;0.0	10.504945620504957;0.0	9.004178533927377;0.0	8.404186708350387;0.0	
8.511862630451246;0.0	9.242049682353095;0.0	9.791370311507064;0.0	8.36244552906247;0.0	7.038798574374397;0.0	
9.201478598797248;0.0	10.607630489832811;0.0	10.044016650093006;0.0	10.384738695053706;0.0	7.984721856500629;0.0	
8.59916813508477;0.0	10.37045167673382;0.0	9.445672168049363;0.0	9.83728498831715;0.0	8.381577211541103;0.0	
9.17566779129303;0.0	9.160507599179093;0.0	8.507310789825059;0.0	8.144620711111154;0.0	8.067270817729414;0.0	
10.020952003040948;0.0	10.890161840048304;0.0	9.960044481841722;0.0	9.688647674235375;0.0	9.15544914045055;0.0	
9.441428353764888;0.0	11.205530906285844;0.0	9.453789795963916;0.0	9.589301344481875;0.0	10.243804518443248;0.0	
8.376012643350562;0.0	11.582039943585654;0.0	9.903686777840889;0.0	9.902413437896236;0.0	9.859536298263036;0.0	
7.799764485600193;0.0	11.311617225458004;0.0	9.75600322381326;0.0	10.541142503251727;0.0	9.140944061142916;0.0	
8.302559675019547;0.0	10.62975090168072;0.0	9.659061810825;0.0	9.149235140105347;0.0	8.170577314374029;0.0	
9.339849470859725;0.0	10.650222960568566;0.0	9.642426762860701;0.0	9.45925803208161;0.0	9.504483976758811;0.0	
8.55057872732456;0.0	10.445826369613737;0.0	9.642070772692868;0.0	9.025578121206943;0.0	10.292598198179748;0.0	
8.434044543509236;0.0	10.875628502682293;0.0	9.61262526151201;0.0	8.957768900320694;0.0	10.313541338497282;0.0	
7.350411072444514;0.0	10.206761714553886;0.0	9.271266148894052;0.0	9.134126759258717;0.0	10.374219065016879;0.0	
8.42422153139624;0.0	10.233785889164038;0.0	9.111674729595137;0.0	8.570721475269;0.0	8.100500499298885;0.0	
8.727720001203728;0.0	10.213666209978602;0.0	9.246055085885933;0.0	8.18258231240913;0.0	7.373923049344552;0.0	
8.615916632833066;0.0	11.490484924182299;0.0	10.536168822919096;0.0	9.461819740288272;0.0	8.709572795482357;0.0	
7.845925710868539;0.0	11.779305750750902;0.0	10.334857237248274;0.0	9.772439327148527;0.0	8.911444371547873;0.0	
7.984967937199142;0.0	11.38948105613228;0.0	10.793660710548203;0.0	10.724091253635686;0.0	9.364314498033199;0.0	
8.238644201526148;0.0	11.148951437582266;0.0	11.090522640749482;0.0	10.302517183563294;0.0	9.710269715945973;0.0	
7.002649118597705;0.0	10.978123788890656;0.0	10.017436869547183;0.0	9.41026358560318;0.0	8.583337339284236;0.0	
8.648907985740582;0.0	10.82033060446645;0.0	10.012716734229912;0.0	8.940929640636787;0.0	9.241852857019545;0.0	
8.577758635475618;0.0	10.76661690458368;0.0	10.348605335653161;0.0	9.332988760450545;0.0	8.010695602908111;0.0	
8.30172695974964;0.0	10.173016109205971;0.0	10.037482811720427;0.0	8.926703821486266;0.0	8.668849731063583;0.0	
7.662114856024497;0.0	9.764357960411918;0.0	10.773593918367405;0.0	8.50862073958649;0.0	9.298923790870894;0.0	
8.451858454852346;0.0	10.506057681459408;0.0	10.106373991422542;0.0	8.575936065086497;0.0	9.032677863846072;0.0	
8.995822630731809;0.0	10.793372220224443;0.0	9.648206067253401;0.0	9.465909153576801;0.0	8.607253365218163;0.0	
8.716320911077052;0.0	10.52955094125273;0.0	9.431060781578084;0.0	9.721190243473746;0.0	8.910159006347362;0.0	
7.965023681844414;0.0	10.321746292464953;0.0	9.745215932023543;0.0	9.367816015443072;0.0	9.039277040043917;0.0	
8.791404673790172;0.0	10.17946491951904;0.0	9.886127422795271;0.0	8.986721520273594;0.0	8.562140009368045;0.0	
8.781222139628035;0.0	10.092446894366786;0.0	9.965763960712176;0.0	8.808123776570586;0.0	8.575542683487148;0.0	
9.017326414693157;0.0	9.7915979079295;0.0	9.918088857781397;0.0	8.770282789196974;0.0	8.966795981960528;0.0	
9.109017663333175;0.0	9.811865720212255;0.0	9.763187794387019;0.0	8.617275109341083;0.0	9.000585991689416;0.0	
9.103709450758247;0.0	9.804276332248051;0.0	9.543691328914445;0.0	8.894082441462652;0.0	7.5058860352935035;0.0	
8.948051170054198;0.0	9.584356511833041;0.0	9.365782046508006;0.0	8.71948348718049;0.0	7.310069988356408;0.0	
8.868202023174701;0.0	9.391169257673619;0.0	9.214704082500345;0.0	8.187108146579444;0.0	7.28561565494886;0.0	
8.499232672311598;0.0	9.25301147003741;0.0	9.028350708608905;0.0	7.954103784925827;0.0	7.087073652051466;0.0	
8.425879095908394;0.0	9.12073784127718;0.0	8.987001765168985;0.0	7.644449757964015;0.0	6.923075089157039;0.0	
8.14767080525633;0.0	9.043076238478859;0.0	8.657785617647484;0.0	7.654293068656932;0.0	6.692803705583792;0.0	
7.965670773602563;0.0	8.972877405561913;0.0	8.259443865713168;0.0	7.934870383558178;0.0	6.9633654232859055;0.0	
7.7151261313008295;0.0	8.735637231842146;0.0	8.671121029479124;0.0	7.937921958871442;0.0	6.4092335775186084;0.0	
7.309861571690653;0.0	8.570526331666288;0.0	8.238613752871903;0.0	7.974957162472886;0.0	6.879707777109748;0.0	
6.740323341481451;0.0	8.539106374968934;0.0	8.194620101241961;0.0	8.034206248174817;0.0	9.387227276430801;0.0	
6.638267231579158;0.0	8.388772179187889;0.0	8.211238060160925;0.0	8.08059299728903;0.0	9.160645607177694;0.0	
7.179038049114477;0.0	8.441475577463349;0.0	8.05164765432471;0.0	7.59098704176699;0.0	8.91749057359182;0.0	
9.296926177902277;0.0	10.458640075168448;0.0	9.997634960321884;0.0	9.202404619073494;0.0	9.101015227776912;0.0	
8.57008617524015;0.0	10.499580049477943;0.0	10.014272377157694;0.0	9.322497027210153;0.0	9.12042760628707;0.0	
9.46066146826513;0.0	10.582323406527857;0.0	9.777768504249226;0.0	9.151746485787765;0.0	8.767841034897485;0.0	
9.17226499663444;0.0	10.864061125334047;0.0	9.779352270706656;0.0	9.046848174475805;0.0	8.16344912760182;0.0	
9.116469962088996;0.0	11.342471440664777;0.0	10.299834234752597;0.0	8.707070551659527;0.0	8.190372315117074;0.0	
7.251203691237574;0.0	10.582662702260182;0.0	9.826757065539171;0.0	8.7887188227809;0.0	7.438984219285404;0.0	
7.692332927937537;0.0	10.270628504320754;0.0	9.638983655670138;0.0	8.731023445053147;0.0	7.869394545557758;0.0	
8.171963999604808;0.0	10.402865878801142;0.0	9.60205173318883;0.0	8.424306607906319;0.0	8.230652808586282;0.0	
8.714387177714382;0.0	10.30073873623125;0.0	9.302837424820808;0.0	8.31303067207393;0.0	9.233152587406211;0.0	
8.208804376112958;0.0	10.028056583463844;0.0	9.229733534122895;0.0	8.486435015578685;0.0	8.802443080801753;0.0	
7.713613699685331;0.0	10.002561423235194;0.0	9.049289064205876;0.0	8.028752634045027;0.0	8.033877730028081;0.0	
8.02896141176365;0.0	9.840735525979344;0.0	9.668700049287962;0.0	8.4615578882644;0.0	7.726751171467622;0.0	
7.820714060984759;0.0	9.804253594771327;0.0	8.886327685857038;0.0	7.862222319398701;0.0	7.558794599057451;0.0	
10.227979961985024;0.0	9.992460440437581;0.0	9.173061286750826;0.0	9.864262180182301;0.0	8.482164093606164;0.0	
9.690927031966334;0.0	11.11215226290192;0.0	10.296693956923782;0.0	9.043660696942588;0.0	8.825858694183053;0.0	
7.287982267925229;0.0	11.25257422053207;0.0	9.415492336062023;0.0	9.79880874434716;0.0	8.346606486503317;0.0	
5.76825800219287;0.0	11.725439333678748;0.0	10.051225323961933;0.0	10.003157872292688;0.0	8.985603273261498;0.0	
6.764861335701524;0.0	11.434185032095558;0.0	10.94506690605902;0.0	11.103508963388839;0.0	8.820811081179377;0.0	
6.925784446309624;0.0	8.695376114399277;0.0	9.035436865888997;0.0	8.329909773902484;0.0	6.8034923622659385;0.0	
9.89544158233785;0.0	10.356111437255215;0.0	10.052130267857034;0.0	9.639753051961193;0.0	9.42541584603578;0.0	
8.279796931066029;0.0	8.668392737863428;0.0	9.639891230562535;0.0	8.935913374400217;0.0	8.034799809829703;0.0	
9.142944575155889;0.0	9.201304344560537;0.0	9.266751912599732;0.0	10.116803989700609;0.0	8.671158021773573;0.0	
9.987940779513767;0.0	10.661887486134834;0.0	9.508067116630201;0.0	9.514301960647304;0.0	10.70712539716888;0.0	
8.203931100782377;0.0	9.744651404269215;0.0	8.968228924257764;0.0	8.777402406512783;0.0	10.721822539025789;0.0	
9.731323988043464;0.0	9.805827627277356;0.0	9.161533392538953;0.0	8.958045563535553;0.0	10.342782125081307;0.0	
9.189412352113937;0.0	10.374688518194208;0.0	9.69478025989779;0.0	9.260209060867298;0.0	11.377005694256411;0.0	
9.208846166940564;0.0	10.297991400359443;0.0	9.63927635096877;0.0	9.55117186824845;0.0	10.804133141070759;0.0	
7.6565744480067925;0.0	10.190698465939626;0.0	9.679761114938104;0.0	9.295731196219046;0.0	10.714751321621645;0.0	
9.720038548350736;0.0	10.983528467003163;0.0	9.729847483794554;0.0	8.717216139778687;0.0	9.867735531992595;0.0	
